Code,Name,City,Region,Notes
ORN06,N/A,Mestia,Rural NW,Ask if rural
ORN08,N/A,Akhaltsikhe,Urban SW,Ask if SW + Urban
ORN03,N/A,Batumi,Urban SW,
BTUM,Abuseridze street,Batumi,Urban SW,
ORN05,N/A,Zugdidi,Urban NW,
AGMS,David Agmashenebeli Avenue 73a,Tbilisi,Capital,
VRKT,Varketili,Tbilisi,Capital,
ORN01,N/A,Tbilisi,Capital,
KZBG,Alexander Kazbegi ave,Tbilisi,Capital,
TSRT,Akaki Tsereteli ave. 105,Tbilisi,Capital,
ORN07,N/A,Akhaltsikhe,Urban SW,Ask if SW + Urban
RST18,Batumi Str. 19,Batumi,Urban SW,
ORN02,N/A,Rustavi,Urban SE,
KUTS,Lado Asatiani street,Tbilisi,Capital,
ORN04,N/A,Kutaisi,Urban NW,Ask if NW
